Stizostedion vitreum
Strychnos toxifera
Sus scrofa
Syngnathoidei
Syzygium aromaticum
Tagetes minuta
Tamarindus indica
Tamarix gallica
Tanacetum vulgare
Taraxacum officinale
Taurotragus oryx
Tectona grandis
Thlaspi arvense
Thunnus alalunga
Trachinotus bolta
Tradescantia ohiensis
Trichechus manatus
Triticum aestivum
Tropaeolum majus
Urtica ballotifolia
Vaccinium macrocarpon
Valeriana sitchensis
Vanilla planifolia
Vicugna vicugna
Vinca minor
Viola palmata 
Yucca glauca
Zea mays 
Ziziphus nummularia
